,open,high,low,close,volume
2010-01-01 00:00:00,10000.0,10000.0,9990.0,10000.0,114.94
2010-01-01 01:00:00,10000.0,10020.0,10000.0,10020.0,339.2
2010-01-01 02:00:00,10020.0,10020.0,10000.0,10000.0,509.8
2010-01-01 03:00:00,10000.0,10010.0,10000.0,10010.0,123.94
2010-01-01 04:00:00,10010.0,10010.0,10000.0,10010.0,212.1
2010-01-01 05:00:00,10010.0,10024.0,10000.0,10020.0,575.0
2010-01-01 06:00:00,10020.0,10024.0,10020.0,10024.0,1015.5
2010-01-01 07:00:00,10024.0,10030.0,10024.0,10030.0,1373.0
2010-01-01 08:00:00,10030.0,10050.0,10030.0,10040.0,1704.0
2010-01-01 09:00:00,10050.0,10056.0,10040.0,10056.0,2418.0
2010-01-01 10:00:00,10056.0,10060.0,10056.0,10056.0,2560.0
2010-01-01 11:00:00,10056.0,10070.0,10056.0,10060.0,2788.0
2010-01-01 12:00:00,10060.0,10060.0,10056.0,10060.0,2692.0
2010-01-01 13:00:00,10060.0,10070.0,10040.0,10040.0,3336.0
2010-01-01 14:00:00,10040.0,10056.0,10040.0,10056.0,1882.0
2010-01-01 15:00:00,10056.0,10060.0,10040.0,10050.0,2836.0
2010-01-01 16:00:00,10050.0,10056.0,10040.0,10056.0,2248.0
2010-01-01 17:00:00,10056.0,10060.0,10050.0,10060.0,2386.0
2010-01-01 18:00:00,10056.0,10060.0,10050.0,10050.0,2392.0
2010-01-01 19:00:00,10050.0,10050.0,10030.0,10050.0,1971.0
2010-01-01 20:00:00,10050.0,10060.0,10050.0,10060.0,2294.0
2010-01-01 21:00:00,10056.0,10060.0,10056.0,10056.0,2854.0
2010-01-01 22:00:00,10056.0,10070.0,10056.0,10070.0,3264.0
2010-01-01 23:00:00,10070.0,10070.0,10056.0,10056.0,3424.0
2010-01-02 00:00:00,10056.0,10056.0,10050.0,10056.0,2362.0
2010-01-02 01:00:00,10056.0,10070.0,10056.0,10070.0,3062.0
2010-01-02 02:00:00,10070.0,10100.0,10060.0,10100.0,3020.0
2010-01-02 03:00:00,10100.0,10110.0,10090.0,10110.0,4956.0
2010-01-02 04:00:00,10110.0,10110.0,10104.0,10104.0,6010.0
2010-01-02 05:00:00,10104.0,10110.0,10104.0,10104.0,5068.0
2010-01-02 06:00:00,10104.0,10110.0,10104.0,10110.0,4980.0
2010-01-02 07:00:00,10110.0,10110.0,10104.0,10104.0,4776.0
2010-01-02 08:00:00,10104.0,10104.0,10100.0,10100.0,4788.0
2010-01-02 09:00:00,10100.0,10110.0,10100.0,10104.0,5840.0
2010-01-02 10:00:00,10104.0,10104.0,10080.0,10080.0,4124.0
2010-01-02 11:00:00,10080.0,10080.0,10060.0,10060.0,3030.0
2010-01-02 12:00:00,10060.0,10090.0,10060.0,10090.0,3490.0
2010-01-02 13:00:00,10090.0,10100.0,10080.0,10090.0,4452.0
2010-01-02 14:00:00,10090.0,10090.0,10070.0,10070.0,2920.0
2010-01-02 15:00:00,10070.0,10070.0,10056.0,10060.0,3298.0
2010-01-02 16:00:00,10060.0,10070.0,10056.0,10056.0,2802.0
2010-01-02 17:00:00,10056.0,10056.0,10040.0,10040.0,2242.0
2010-01-02 18:00:00,10040.0,10040.0,10030.0,10030.0,1936.0
2010-01-02 19:00:00,10030.0,10056.0,10030.0,10056.0,1930.0
2010-01-02 20:00:00,10056.0,10056.0,10050.0,10056.0,2452.0
2010-01-02 21:00:00,10060.0,10080.0,10056.0,10080.0,3846.0
2010-01-02 22:00:00,10080.0,10090.0,10080.0,10090.0,4076.0
2010-01-02 23:00:00,10090.0,10104.0,10090.0,10104.0,4924.0
2010-01-03 00:00:00,10104.0,10110.0,10104.0,10104.0,4664.0
2010-01-03 01:00:00,10104.0,10130.0,10104.0,10130.0,6004.0
2010-01-03 02:00:00,10130.0,10150.0,10130.0,10150.0,6268.0
2010-01-03 03:00:00,10150.0,10150.0,10140.0,10140.0,6464.0
2010-01-03 04:00:00,10140.0,10140.0,10120.0,10120.0,6132.0
2010-01-03 05:00:00,10120.0,10130.0,10120.0,10120.0,5476.0
2010-01-03 06:00:00,10120.0,10120.0,10104.0,10110.0,5900.0
2010-01-03 07:00:00,10110.0,10120.0,10110.0,10120.0,5116.0
2010-01-03 08:00:00,10120.0,10136.0,10120.0,10130.0,5576.0
2010-01-03 09:00:00,10130.0,10130.0,10120.0,10120.0,5370.0
2010-01-03 10:00:00,10130.0,10130.0,10120.0,10130.0,6200.0
2010-01-03 11:00:00,10120.0,10136.0,10120.0,10130.0,4604.0
2010-01-03 12:00:00,10130.0,10130.0,10110.0,10110.0,5708.0
2010-01-03 13:00:00,10110.0,10110.0,10100.0,10100.0,4640.0
2010-01-03 14:00:00,10100.0,10110.0,10100.0,10104.0,4950.0
2010-01-03 15:00:00,10104.0,10104.0,10100.0,10104.0,4640.0
2010-01-03 16:00:00,10104.0,10104.0,10090.0,10090.0,4044.0
2010-01-03 17:00:00,10090.0,10090.0,10060.0,10060.0,3616.0
2010-01-03 18:00:00,10060.0,10070.0,10060.0,10070.0,4116.0
2010-01-03 19:00:00,10070.0,10070.0,10056.0,10060.0,3630.0
2010-01-03 20:00:00,10060.0,10060.0,10050.0,10056.0,2332.0
2010-01-03 21:00:00,10056.0,10060.0,10056.0,10060.0,2884.0
2010-01-03 22:00:00,10056.0,10060.0,10050.0,10060.0,2892.0
2010-01-03 23:00:00,10060.0,10070.0,10060.0,10070.0,2932.0
2010-01-04 00:00:00,10060.0,10060.0,10056.0,10056.0,2644.0
2010-01-04 01:00:00,10060.0,10060.0,10040.0,10040.0,2334.0
2010-01-04 02:00:00,10040.0,10040.0,10030.0,10040.0,2100.0
2010-01-04 03:00:00,10040.0,10050.0,10030.0,10040.0,1838.0
2010-01-04 04:00:00,10040.0,10050.0,10030.0,10050.0,1673.0
2010-01-04 05:00:00,10050.0,10070.0,10050.0,10070.0,2830.0
2010-01-04 06:00:00,10070.0,10070.0,10060.0,10070.0,3610.0
2010-01-04 07:00:00,10070.0,10090.0,10070.0,10090.0,3708.0
2010-01-04 08:00:00,10090.0,10090.0,10070.0,10070.0,3900.0
2010-01-04 09:00:00,10070.0,10080.0,10060.0,10070.0,3918.0
2010-01-04 10:00:00,10070.0,10090.0,10070.0,10090.0,3768.0
2010-01-04 11:00:00,10090.0,10120.0,10090.0,10110.0,5180.0
2010-01-04 12:00:00,10110.0,10110.0,10104.0,10104.0,5416.0
2010-01-04 13:00:00,10104.0,10104.0,10080.0,10080.0,4516.0
2010-01-04 14:00:00,10080.0,10080.0,10070.0,10070.0,3728.0
2010-01-04 15:00:00,10070.0,10080.0,10070.0,10070.0,4260.0
2010-01-04 16:00:00,10070.0,10070.0,10056.0,10056.0,2722.0
2010-01-04 17:00:00,10056.0,10056.0,10040.0,10050.0,1981.0
2010-01-04 18:00:00,10050.0,10050.0,10020.0,10020.0,1474.0
2010-01-04 19:00:00,10020.0,10024.0,10010.0,10024.0,901.0
2010-01-04 20:00:00,10024.0,10030.0,10024.0,10024.0,1265.0
2010-01-04 21:00:00,10024.0,10030.0,10010.0,10020.0,1157.0
2010-01-04 22:00:00,10020.0,10020.0,10000.0,10010.0,224.2
2010-01-04 23:00:00,10010.0,10024.0,10010.0,10020.0,821.5
2010-01-05 00:00:00,10020.0,10024.0,10020.0,10020.0,1031.0
2010-01-05 01:00:00,10020.0,10020.0,10010.0,10020.0,502.0
2010-01-05 02:00:00,10020.0,10020.0,10000.0,10000.0,197.4
2010-01-05 03:00:00,10000.0,10010.0,10000.0,10000.0,133.0
2010-01-05 04:00:00,10010.0,10010.0,9990.0,10000.0,189.6
2010-01-05 05:00:00,10000.0,10010.0,10000.0,10000.0,254.5
2010-01-05 06:00:00,10010.0,10010.0,9990.0,9990.0,236.2
2010-01-05 07:00:00,9990.0,10000.0,9990.0,10000.0,151.0
2010-01-05 08:00:00,10000.0,10020.0,10000.0,10020.0,326.8
2010-01-05 09:00:00,10020.0,10030.0,10020.0,10030.0,1140.0
2010-01-05 10:00:00,10030.0,10040.0,10030.0,10040.0,1857.0
2010-01-05 11:00:00,10040.0,10040.0,10024.0,10024.0,1519.0
2010-01-05 12:00:00,10024.0,10024.0,10000.0,10000.0,516.5
2010-01-05 13:00:00,10000.0,10020.0,10000.0,10010.0,433.5
2010-01-05 14:00:00,10010.0,10010.0,9990.0,10000.0,136.5
2010-01-05 15:00:00,10000.0,10020.0,10000.0,10010.0,350.0
2010-01-05 16:00:00,10020.0,10030.0,10010.0,10030.0,828.0
2010-01-05 17:00:00,10030.0,10040.0,10030.0,10040.0,1729.0
2010-01-05 18:00:00,10040.0,10050.0,10040.0,10050.0,2032.0
2010-01-05 19:00:00,10050.0,10060.0,10050.0,10060.0,2948.0
2010-01-05 20:00:00,10060.0,10070.0,10060.0,10070.0,2996.0
2010-01-05 21:00:00,10070.0,10080.0,10060.0,10080.0,3354.0
2010-01-05 22:00:00,10080.0,10080.0,10070.0,10080.0,4270.0
2010-01-05 23:00:00,10080.0,10080.0,10060.0,10070.0,3722.0
2010-01-06 00:00:00,10070.0,10070.0,10060.0,10070.0,3962.0
2010-01-06 01:00:00,10070.0,10070.0,10056.0,10060.0,3020.0
2010-01-06 02:00:00,10060.0,10070.0,10060.0,10070.0,2980.0
2010-01-06 03:00:00,10070.0,10090.0,10070.0,10090.0,4252.0
